Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low						
21/04/2018	Sat	03:36	PM	3.15	96	H					
21/04/2018	Sat	08:01	PM	2.45	75	L					
22/04/2018	Sun	02:08	AM	4.63	141	H					
22/04/2018	Sun	09:59	AM	-0.08	-2	L					
22/04/2018	Sun	05:10	PM	3.47	106	H					
22/04/2018	Sun	09:57	PM	2.43	74	L					
23/04/2018	Mon	03:42	AM	4.45	136	H					
23/04/2018	Mon	11:13	AM	-0.16	-5	L					
23/04/2018	Mon	06:07	PM	3.92	119	H					
23/04/2018	Mon	11:30	PM	2	61	L					
24/04/2018	Tue	05:07	AM	4.5	137	H					
24/04/2018	Tue	12:12	PM	-0.26	-8	L					
24/04/2018	Tue	06:47	PM	4.39	134	H					
25/04/2018	Wed	12:36	AM	1.39	42	L					
25/04/2018	Wed	06:16	AM	4.64	141	H					
25/04/2018	Wed	12:59	PM	-0.29	-9	L					
25/04/2018	Wed	07:22	PM	4.82	147	H					
26/04/2018	Thu	01:27	AM	0.78	24	L					
26/04/2018	Thu	07:12	AM	4.75	145	H					
26/04/2018	Thu	01:39	PM	-0.21	-6	L					
26/04/2018	Thu	07:54	PM	5.18	158	H					
27/04/2018	Fri	02:11	AM	0.25	8	L					
27/04/2018	Fri	08:02	AM	4.76	145	H					
27/04/2018	Fri	02:14	PM	-0.03	-1	L					
27/04/2018	Fri	08:25	PM	5.46	166	H					
28/04/2018	Sat	02:52	AM	-0.16	-5	L					
28/04/2018	Sat	08:46	AM	4.66	142	H					
28/04/2018	Sat	02:47	PM	0.24	7	L					
28/04/2018	Sat	08:54	PM	5.63	172	H					
29/04/2018	Sun	03:31	AM	-0.42	-13	L					
29/04/2018	Sun	09:29	AM	4.47	136	H					
29/04/2018	Sun	03:18	PM	0.56	17	L					
29/04/2018	Sun	09:23	PM	5.68	173	H					
30/04/2018	Mon	04:09	AM	-0.53	-16	L					
30/04/2018	Mon	10:10	AM	4.2	128	H					
30/04/2018	Mon	03:48	PM	0.93	28	L					
30/04/2018	Mon	09:52	PM	5.61	171	H					
01/05/2018	Tue	04:46	AM	-0.5	-15	L					
01/05/2018	Tue	10:52	AM	3.9	119	H					
01/05/2018	Tue	04:16	PM	1.31	40	L					
01/05/2018	Tue	10:21	PM	5.43	166	H					
02/05/2018	Wed	05:25	AM	-0.36	-11	L					
02/05/2018	Wed	11:36	AM	3.58	109	H					
02/05/2018	Wed	04:44	PM	1.69	52	L					
02/05/2018	Wed	10:50	PM	5.17	158	H					
03/05/2018	Thu	06:07	AM	-0.13	-4	L					
03/05/2018	Thu	12:26	PM	3.28	100	H					
03/05/2018	Thu	05:12	PM	2.05	62	L					
03/05/2018	Thu	11:20	PM	4.84	148	H					
04/05/2018	Fri	06:54	AM	0.14	4	L					
04/05/2018	Fri	01:30	PM	3.06	93	H					
04/05/2018	Fri	05:42	PM	2.39	73	L					
04/05/2018	Fri	11:56	PM	4.47	136	H					
05/05/2018	Sat	07:50	AM	0.41	12	L					
05/05/2018	Sat	02:57	PM	2.98	91	H					
05/05/2018	Sat	06:30	PM	2.69	82	L					
06/05/2018	Sun	12:43	AM	4.09	125	H					
06/05/2018	Sun	08:57	AM	0.59	18	L					
06/05/2018	Sun	04:46	PM	3.15	96	H					
06/05/2018	Sun	08:31	PM	2.86	87	L					
07/05/2018	Mon	02:03	AM	3.76	115	H					
07/05/2018	Mon	10:07	AM	0.65	20	L					
07/05/2018	Mon	05:39	PM	3.43	105	H					
07/05/2018	Mon	10:30	PM	2.69	82	L					
08/05/2018	Tue	03:41	AM	3.62	110	H					
08/05/2018	Tue	11:06	AM	0.61	19	L					
08/05/2018	Tue	06:07	PM	3.75	114	H					
08/05/2018	Tue	11:43	PM	2.26	69	L					
09/05/2018	Wed	05:00	AM	3.69	112	H					
09/05/2018	Wed	11:53	AM	0.53	16	L					
09/05/2018	Wed	06:31	PM	4.11	125	H					
10/05/2018	Thu	12:31	AM	1.73	53	L					
10/05/2018	Thu	06:01	AM	3.87	118	H					
10/05/2018	Thu	12:31	PM	0.47	14	L					
10/05/2018	Thu	06:56	PM	4.51	137	H					
11/05/2018	Fri	01:11	AM	1.15	35	L					
11/05/2018	Fri	06:51	AM	4.05	123	H					
