"ENSENADA,"	B.C.	(31	51	"N,"	116	38	W)
Fecha	Inicial:	20/04/2018					
Fecha	Final:	20/11/2018					
Zona	de	Tiempo:	0				
Intervalo	de	Muestreo:	60	minuto(s)			
Nivel	de	Referencia:	Bajamar	Media	Inferior	(NBMI)	
Alturas	en	metros					
2018	5	18	3	0	0	1.196	
2018	5	18	4	0	0	1.513	
2018	5	18	5	0	0	1.735	
2018	5	18	6	0	0	1.799	
2018	5	18	7	0	0	1.675	
2018	5	18	8	0	0	1.374	
2018	5	18	9	0	0	0.95	
2018	5	18	10	0	0	0.484	
2018	5	18	11	0	0	0.063	
2018	5	18	12	0	0	-0.232	
2018	5	18	13	0	0	-0.356	
2018	5	18	14	0	0	-0.297	
2018	5	18	15	0	0	-0.087	
2018	5	18	16	0	0	0.214	
2018	5	18	17	0	0	0.531	
2018	5	18	18	0	0	0.793	
2018	5	18	19	0	0	0.95	
2018	5	18	20	0	0	0.984	
2018	5	18	21	0	0	0.909	
2018	5	18	22	0	0	0.772	
2018	5	18	23	0	0	0.633	
2018	5	19	0	0	0	0.553	
2018	5	19	1	0	0	0.574	
2018	5	19	2	0	0	0.71	
2018	5	19	3	0	0	0.943	
2018	5	19	4	0	0	1.222	
2018	5	19	5	0	0	1.48	
2018	5	19	6	0	0	1.65	
2018	5	19	7	0	0	1.679	
2018	5	19	8	0	0	1.545	
2018	5	19	9	0	0	1.262	
2018	5	19	10	0	0	0.878	
2018	5	19	11	0	0	0.462	
2018	5	19	12	0	0	0.092	
2018	5	19	13	0	0	-0.168	
2018	5	19	14	0	0	-0.276	
2018	5	19	15	0	0	-0.225	
2018	5	19	16	0	0	-0.041	
2018	5	19	17	0	0	0.225	
2018	5	19	18	0	0	0.511	
